word,total_error_percentage
doesn,0.3554719750481607
revit,0.0481607192000733
1st,0.0389872488762498
wasn,0.0344005137143381
cade,0.0344005137143381
isn,0.0321071461333822
alumina,0.0321071461333822
101s,0.0275204109714705
wingspan,0.0206403082286028
effraim,0.0206403082286028
ephraim,0.0206403082286028
collate,0.0137602054857352
ciruit,0.0137602054857352
minecraft,0.0137602054857352
fiveish,0.0137602054857352
mether,0.0137602054857352
mandems,0.0137602054857352
recieves,0.0137602054857352
sealing,0.0137602054857352
electriciy,0.0137602054857352
jaden,0.0137602054857352
plas,0.0137602054857352
repellent,0.0137602054857352
rihana,0.0137602054857352
select,0.0137602054857352
sylvie,0.0137602054857352
throughs,0.0137602054857352
2nd,0.0114668379047793
loosing,0.0114668379047793
doop,0.0114668379047793
jagger,0.0091734703238235
miliad,0.0068801027428676
1000000000s,0.0068801027428676
10s,0.0068801027428676
111st,0.0068801027428676
12th,0.0068801027428676
21s,0.0068801027428676
21st,0.0068801027428676
242nd,0.0068801027428676
51s,0.0068801027428676
8s,0.0068801027428676
aborbing,0.0068801027428676
accomplished,0.0068801027428676
alumi,0.0068801027428676
aluminu,0.0068801027428676
anominy,0.0068801027428676
aren,0.0068801027428676
assured,0.0068801027428676
backgrounds,0.0068801027428676
batttery,0.0068801027428676
beater,0.0068801027428676
blabla,0.0068801027428676
blablabla,0.0068801027428676
bleach,0.0068801027428676
boobs,0.0068801027428676
breakes,0.0068801027428676
brendan,0.0068801027428676
brewery,0.0068801027428676
blame,0.0068801027428676
bionicles,0.0068801027428676
butn,0.0068801027428676
cate,0.0068801027428676
campac,0.0068801027428676
campacite,0.0068801027428676
candlestick,0.0068801027428676
capad,0.0068801027428676
capaciti,0.0068801027428676
capsulis,0.0068801027428676
capitalized,0.0068801027428676
mayork,0.0068801027428676
cedime,0.0068801027428676
celseise,0.0068801027428676
chainsaw,0.0068801027428676
woodch,0.0068801027428676
chomp,0.0068801027428676
circu,0.0068801027428676
cleaves,0.0068801027428676
clench,0.0068801027428676
corridor,0.0068801027428676
counterclockwise,0.0068801027428676
crertain,0.0068801027428676
crystallization,0.0068801027428676
darned,0.0068801027428676
defiantly,0.0068801027428676
denied,0.0068801027428676
detracts,0.0068801027428676
disclosure,0.0068801027428676
disconnec,0.0068801027428676
disputer,0.0068801027428676
disbuter,0.0068801027428676
deserved,0.0068801027428676
drine,0.0068801027428676
drinked,0.0068801027428676
easi,0.0068801027428676
ecah,0.0068801027428676
electricty,0.0068801027428676
eles,0.0068801027428676
ginormous,0.0068801027428676
efron,0.0068801027428676
esophaguses,0.0068801027428676
esterday,0.0068801027428676
etting,0.0068801027428676
faing,0.0068801027428676
fillings,0.0068801027428676
fiv,0.0068801027428676
filam,0.0068801027428676
finsh,0.0068801027428676
fizzling,0.0068801027428676
flicked,0.0068801027428676
flourish,0.0068801027428676
forethere,0.0068801027428676
ths,0.0068801027428676
franky,0.0068801027428676
fulls,0.0068801027428676
fused,0.0068801027428676
generated,0.0068801027428676
gettings,0.0068801027428676
goshh,0.0068801027428676
grap,0.0068801027428676
graber,0.0068801027428676
grapey,0.0068801027428676
grapestatic,0.0068801027428676
greektastic,0.0068801027428676
grouped,0.0068801027428676
hai,0.0068801027428676
hasno,0.0068801027428676
heavi,0.0068801027428676
5th,0.0068801027428676
ihuhu,0.0068801027428676
ich,0.0068801027428676
idk,0.0068801027428676
independiv,0.0068801027428676
inflow,0.0068801027428676
interval,0.0068801027428676
invades,0.0068801027428676
invents,0.0068801027428676
irion,0.0068801027428676
aluminaires,0.0068801027428676
ironish,0.0068801027428676
ponents,0.0068801027428676
jayden,0.0068801027428676
shayden,0.0068801027428676
kindly,0.0068801027428676
kuje,0.0068801027428676
hourly,0.0068801027428676
ling,0.0068801027428676
lest,0.0068801027428676
lighht,0.0068801027428676
literal,0.0068801027428676
littered,0.0068801027428676
lettering,0.0068801027428676
loo,0.0068801027428676
looses,0.0068801027428676
lovas,0.0068801027428676
lun,0.0068801027428676
thingamaboburn,0.0068801027428676
magnesia,0.0068801027428676
magneton,0.0068801027428676
makethe,0.0068801027428676
mayan,0.0068801027428676
arnie,0.0068801027428676
mated,0.0068801027428676
maths,0.0068801027428676
partney,0.0068801027428676
meta,0.0068801027428676
mixers,0.0068801027428676
moistened,0.0068801027428676
massed,0.0068801027428676
ng,0.0068801027428676
ninetee,0.0068801027428676
nitrogen,0.0068801027428676
obstructing,0.0068801027428676
oiled,0.0068801027428676
oing,0.0068801027428676
omivores,0.0068801027428676
gotonly,0.0068801027428676
oop,0.0068801027428676
orangeish,0.0068801027428676
orion,0.0068801027428676
arian,0.0068801027428676
othing,0.0068801027428676
pomape,0.0068801027428676
pathwaysin,0.0068801027428676
pbm,0.0068801027428676
plast,0.0068801027428676
pleas,0.0068801027428676
poisoning,0.0068801027428676
possess,0.0068801027428676
poti,0.0068801027428676
ism,0.0068801027428676
proces,0.0068801027428676
properities,0.0068801027428676
provisions,0.0068801027428676
recirculate,0.0068801027428676
redish,0.0068801027428676
referen,0.0068801027428676
remix,0.0068801027428676
remixed,0.0068801027428676
afranciana,0.0068801027428676
rised,0.0068801027428676
rned,0.0068801027428676
rots,0.0068801027428676
sandpapering,0.0068801027428676
papering,0.0068801027428676
sca,0.0068801027428676
sheen,0.0068801027428676
concealed,0.0068801027428676
sef,0.0068801027428676
sender,0.0068801027428676
unseparate,0.0068801027428676
separator,0.0068801027428676
shaved,0.0068801027428676
skinner,0.0068801027428676
smush,0.0068801027428676
smoose,0.0068801027428676
solubable,0.0068801027428676
dissolvent,0.0068801027428676
spacebar,0.0068801027428676
spining,0.0068801027428676
spung,0.0068801027428676
stache,0.0068801027428676
dicks,0.0068801027428676
strat,0.0068801027428676
shawl,0.0068801027428676
strine,0.0068801027428676
trine,0.0068801027428676
deflect,0.0068801027428676
sweats,0.0068801027428676
swich,0.0068801027428676
switche,0.0068801027428676
swork,0.0068801027428676
sylphy,0.0068801027428676
sylvy,0.0068801027428676
taffy,0.0068801027428676
tali,0.0068801027428676
temporar,0.0068801027428676
tempera,0.0068801027428676
intember,0.0068801027428676
nepore,0.0068801027428676
tethers,0.0068801027428676
canners,0.0068801027428676
thaen,0.0068801027428676
endures,0.0068801027428676
thermoman,0.0068801027428676
thf,0.0068801027428676
cms,0.0068801027428676
thorugh,0.0068801027428676
thril,0.0068801027428676
throungh,0.0068801027428676
topper,0.0068801027428676
attractor,0.0068801027428676
transfered,0.0068801027428676
understo,0.0068801027428676
unning,0.0068801027428676
voltage,0.0068801027428676
wattage,0.0068801027428676
wok,0.0068801027428676
waning,0.0068801027428676
warme,0.0068801027428676
weightier,0.0068801027428676
whi,0.0068801027428676
